  (0, 1)	-0.5
  (0, 11)	-0.5
  (1, 0)	-0.5
  (1, 2)	-0.5
  (1, 12)	-0.5
  (2, 1)	-0.5
  (2, 3)	-0.5
  (2, 13)	-0.5
  (3, 2)	-0.5
  (3, 4)	-0.5
  (3, 14)	-0.5
  (4, 3)	-0.5
  (4, 5)	-0.5
  (4, 15)	-0.5
  (5, 4)	-0.5
  (5, 6)	-0.5
  (5, 16)	-0.5
  (6, 5)	-0.5
  (6, 7)	-0.5
  (6, 17)	-0.5
  (7, 6)	-0.5
  (7, 8)	-0.5
  (7, 18)	-0.5
  (8, 7)	-0.5
  (8, 9)	-0.5
  :	:
  (112, 111)	-0.5
  (112, 113)	-0.5
  (113, 102)	-0.5
  (113, 112)	-0.5
  (113, 114)	-0.5
  (114, 103)	-0.5
  (114, 113)	-0.5
  (114, 115)	-0.5
  (115, 104)	-0.5
  (115, 114)	-0.5
  (115, 116)	-0.5
  (116, 105)	-0.5
  (116, 115)	-0.5
  (116, 117)	-0.5
  (117, 106)	-0.5
  (117, 116)	-0.5
  (117, 118)	-0.5
  (118, 107)	-0.5
  (118, 117)	-0.5
  (118, 119)	-0.5
  (119, 108)	-0.5
  (119, 118)	-0.5
  (119, 120)	-0.5
  (120, 109)	-0.5
  (120, 119)	-0.5
